6012,Pay Day Lenders
6021,National Commercial Banks
6022,State Commercial Banks
6029,"Commercial Banks, NEC"
6035,"Savings Institution, Federally Chartered"
6036,"Savings Institutions, Not Federally Chartered"
6099,"Functions Related To Depository Banking, NEC"
6111,Federal & Federally Sponsored Credit Agencies
6141,Personal Credit Institutions
6153,Short-Term Business Credit Institutions
6159,Miscellaneous Business Credit Institution
6162,Mortgage Bankers & Loan Correspondents
6163,Loan Brokers
6172,Finance Lessors
6189,Asset-Backed Securities
6199,Finance Services
6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
6211,"Security Brokers, Dealers & Flotation Companies"
6221,Commodity Contracts Brokers & Dealers
6282,Investment Advice
6311,Life Insurance
6321,Accident & Health Insurance
6324,Hospital & Medical Service Plans
6331,"Fire, Marine & Casualty Insurance"
6351,Surety Insurance
6361,Title Insurance
6399,"Insurance Carriers, NEC"
6411,"Insurance Agents, Brokers & Service"
6500,Real Estate
6510,Real Estate Operators (No Developers) & Lessors
6512,Operators of Nonresidential Buildings
6513,Operators of Apartment Buildings
6519,"Lessors of Real Property, NEC"
6531,Real Estate Agents & Managers (For Others)
6532,Real Estate Dealers (For Their Own Account)
6552,Land Subdividers & Developers (No Cemeteries)
6770,Blank Checks
6792,Oil Royalty Traders
6794,Patent Owners & Lessors
6795,Mineral Royalty Traders
6798,Real Estate Investment Trusts
6799,"Investors, NEC"
